Club,Club Logo
1. FC Heidenheim 1846,https://cdn.sofifa.net/teams/111235/30.png
1. FC Kaiserslautern,https://cdn.sofifa.net/teams/29/30.png
1. FC Köln,https://cdn.sofifa.net/teams/31/30.png
1. FC Magdeburg,https://cdn.sofifa.net/teams/110588/30.png
1. FC Nürnberg,https://cdn.sofifa.net/teams/171/30.png
1. FC Saarbrücken,https://cdn.sofifa.net/teams/523/30.png
1. FC Union Berlin,https://cdn.sofifa.net/teams/1831/30.png
1. FSV Mainz 05,https://cdn.sofifa.net/teams/169/30.png
12 de Octubre FC,https://cdn.sofifa.net/teams/111007/30.png
9 de Octubre,https://cdn.sofifa.net/teams/115487/30.png
Aalborg BK,https://cdn.sofifa.net/teams/820/30.png
Aalesunds FK,https://cdn.sofifa.net/teams/1755/30.png
Aarhus GF,https://cdn.sofifa.net/teams/271/30.png
Aberdeen,https://cdn.sofifa.net/teams/77/30.png
Abha Club,https://cdn.sofifa.net/teams/113058/30.png
AC Ajaccio,https://cdn.sofifa.net/teams/614/30.png
AC Arles Avignon,https://cdn.sofifa.net/teams/111989/30.png
AC Horsens,https://cdn.sofifa.net/teams/1446/30.png
AC Milan,https://cdn.sofifa.net/teams/47/30.png
AC Mineros de Guayana,https://cdn.sofifa.net/teams/110992/30.png
AC Monza,https://cdn.sofifa.net/teams/111811/30.png
AC Sparta Praha,https://cdn.sofifa.net/teams/267/30.png
Academia Puerto Cabello,https://cdn.sofifa.net/teams/114611/30.png
Accrington Stanley,https://cdn.sofifa.net/teams/110313/30.png
AD Alcorcón,https://cdn.sofifa.net/teams/100831/30.png
Adana Demirspor,https://cdn.sofifa.net/teams/101016/30.png
Adelaide United,https://cdn.sofifa.net/teams/111393/30.png
ADO Den Haag,https://cdn.sofifa.net/teams/650/30.png
AEK Athens,https://cdn.sofifa.net/teams/278/30.png
AFC Astra Giurgiu,https://cdn.sofifa.net/teams/112847/30.png
AFC Bournemouth,https://cdn.sofifa.net/teams/1943/30.png
AFC Chindia Târgoviște,https://cdn.sofifa.net/teams/113387/30.png
AFC Hermannstadt,https://cdn.sofifa.net/teams/114147/30.png
AFC Richmond,https://cdn.sofifa.net/teams/116418/30.png
AFC UTA Arad,https://cdn.sofifa.net/teams/110750/30.png
AFC Wimbledon,https://cdn.sofifa.net/teams/112259/30.png
AIK,https://cdn.sofifa.net/teams/433/30.png
AJ Auxerre,https://cdn.sofifa.net/teams/57/30.png
Ajax,https://cdn.sofifa.net/teams/245/30.png
Al Adalah,https://cdn.sofifa.net/teams/113345/30.png
Al Ahli,https://cdn.sofifa.net/teams/112387/30.png
Al Ain,https://cdn.sofifa.net/teams/114143/30.png
Al Ain FC,https://cdn.sofifa.net/teams/111701/30.png
Al Batin,https://cdn.sofifa.net/teams/112990/30.png
Al Faisaly,https://cdn.sofifa.net/teams/112389/30.png
Al Fateh,https://cdn.sofifa.net/teams/112390/30.png
Al Fayha,https://cdn.sofifa.net/teams/113057/30.png
Al Hazem,https://cdn.sofifa.net/teams/113222/30.png
Al Hilal,https://cdn.sofifa.net/teams/605/30.png
Al Ittihad,https://cdn.sofifa.net/teams/607/30.png
Al Khaleej,https://cdn.sofifa.net/teams/112883/30.png
Al Nassr,https://cdn.sofifa.net/teams/112139/30.png
Al Qadisiyah,https://cdn.sofifa.net/teams/112391/30.png
Al Raed,https://cdn.sofifa.net/teams/112392/30.png
Al Shabab,https://cdn.sofifa.net/teams/111674/30.png
Al Taawoun,https://cdn.sofifa.net/teams/112393/30.png
Al Tai,https://cdn.sofifa.net/teams/112572/30.png
Al Wehda,https://cdn.sofifa.net/teams/112408/30.png
Albacete BP,https://cdn.sofifa.net/teams/1854/30.png
Albirex Niigata,https://cdn.sofifa.net/teams/112906/30.png
Alianza Petrolera,https://cdn.sofifa.net/teams/112579/30.png
Altay SK,https://cdn.sofifa.net/teams/101006/30.png
América de Cali,https://cdn.sofifa.net/teams/101099/30.png
Amiens SC,https://cdn.sofifa.net/teams/1816/30.png
Angers SCO,https://cdn.sofifa.net/teams/1530/30.png
Antalyaspor,https://cdn.sofifa.net/teams/741/30.png
APOEL Nicosia FC,https://cdn.sofifa.net/teams/100135/30.png
Aragua Fútbol Club,https://cdn.sofifa.net/teams/112916/30.png
Argentinos Juniors,https://cdn.sofifa.net/teams/111019/30.png
Arka Gdynia,https://cdn.sofifa.net/teams/111082/30.png
Arsenal,https://cdn.sofifa.net/teams/1/30.png
Arsenal de Sarandí,https://cdn.sofifa.net/teams/110394/30.png
Arsenal Tula,https://cdn.sofifa.net/teams/110756/30.png
AS Monaco,https://cdn.sofifa.net/teams/69/30.png
AS Nancy Lorraine,https://cdn.sofifa.net/teams/1823/30.png
AS Saint-Étienne,https://cdn.sofifa.net/teams/1819/30.png
Ascoli,https://cdn.sofifa.net/teams/1847/30.png
Associação Académica de Coimbra,https://cdn.sofifa.net/teams/1901/30.png
Aston Villa,https://cdn.sofifa.net/teams/2/30.png
Atakaş Hatayspor,https://cdn.sofifa.net/teams/101028/30.png
Atalanta,https://cdn.sofifa.net/teams/39/30.png
Athletic Club de Bilbao,https://cdn.sofifa.net/teams/448/30.png
ATK Mohun Bagan FC,https://cdn.sofifa.net/teams/113146/30.png
Atlanta United,https://cdn.sofifa.net/teams/112885/30.png
Atlético Bucaramanga,https://cdn.sofifa.net/teams/112992/30.png
Atlético Clube Goianiense,https://cdn.sofifa.net/teams/112119/30.png
Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png
Atlético Huila,https://cdn.sofifa.net/teams/112528/30.png
Atlético Nacional,https://cdn.sofifa.net/teams/101100/30.png
Atlético Tucumán,https://cdn.sofifa.net/teams/111708/30.png
Audax Italiano,https://cdn.sofifa.net/teams/101097/30.png
Austin FC,https://cdn.sofifa.net/teams/114161/30.png
Austria Lustenau,https://cdn.sofifa.net/teams/781/30.png
Avellino,https://cdn.sofifa.net/teams/2038/30.png
Avispa Fukuoka,https://cdn.sofifa.net/teams/113186/30.png
Ayacucho,https://cdn.sofifa.net/teams/114512/30.png
Aytemiz Alanyaspor,https://cdn.sofifa.net/teams/113142/30.png
AZ Alkmaar,https://cdn.sofifa.net/teams/1906/30.png
Bahia,https://cdn.sofifa.net/teams/1598/30.png
Barcelona Sporting Club,https://cdn.sofifa.net/teams/110981/30.png
Bari,https://cdn.sofifa.net/teams/1848/30.png
Barnet,https://cdn.sofifa.net/teams/135/30.png
Barnsley,https://cdn.sofifa.net/teams/1932/30.png
Barracas Central,https://cdn.sofifa.net/teams/113044/30.png
Barrow,https://cdn.sofifa.net/teams/381/30.png
Bayer 04 Leverkusen,https://cdn.sofifa.net/teams/32/30.png
BB Erzurumspor,https://cdn.sofifa.net/teams/749/30.png
Beijing Guoan FC,https://cdn.sofifa.net/teams/111768/30.png
Belenenses SAD,https://cdn.sofifa.net/teams/1889/30.png
Benevento,https://cdn.sofifa.net/teams/112026/30.png
Bengaluru FC,https://cdn.sofifa.net/teams/113302/30.png
Beşiktaş JK,https://cdn.sofifa.net/teams/327/30.png
Birmingham City,https://cdn.sofifa.net/teams/88/30.png
BK Häcken,https://cdn.sofifa.net/teams/711/30.png
Blackburn Rovers,https://cdn.sofifa.net/teams/3/30.png
Blackpool,https://cdn.sofifa.net/teams/1926/30.png
Boavista FC,https://cdn.sofifa.net/teams/1898/30.png
Boca Juniors,https://cdn.sofifa.net/teams/1877/30.png
Bohemian FC,https://cdn.sofifa.net/teams/305/30.png
Bologna,https://cdn.sofifa.net/teams/189/30.png
Bolton Wanderers,https://cdn.sofifa.net/teams/4/30.png
Borussia Dortmund,https://cdn.sofifa.net/teams/22/30.png
Borussia Dortmund II,https://cdn.sofifa.net/teams/110676/30.png
Borussia Mönchengladbach,https://cdn.sofifa.net/teams/23/30.png
Boyacá Chicó FC,https://cdn.sofifa.net/teams/112019/30.png
Bradford City,https://cdn.sofifa.net/teams/1804/30.png
Bray Wanderers,https://cdn.sofifa.net/teams/838/30.png
Brentford,https://cdn.sofifa.net/teams/1925/30.png
Brescia,https://cdn.sofifa.net/teams/190/30.png
Brighton & Hove Albion,https://cdn.sofifa.net/teams/1808/30.png
Brisbane Roar,https://cdn.sofifa.net/teams/111395/30.png
Bristol City,https://cdn.sofifa.net/teams/1919/30.png
Bristol Rovers,https://cdn.sofifa.net/teams/1962/30.png
Brøndby IF,https://cdn.sofifa.net/teams/269/30.png
